t_s,h_Wm2K
2.487437185929648464e+00,2.756821837450896737e+02
2.512562814070351980e+00,2.711298456350191373e+02
2.537688442211055495e+00,2.666698842321310394e+02
2.562814070351759010e+00,2.623004250148449046e+02
2.587939698492462526e+00,2.580196314996445608e+02
2.613065326633166041e+00,2.538257044692044531e+02
2.638190954773869557e+00,2.497168812161791323e+02
2.663316582914573072e+00,2.456914348023366585e+02
2.688442211055276587e+00,2.417476733327272314e+02
2.713567839195980103e+00,2.378839392445790679e+02
2.738693467336683618e+00,2.340986086106257176e+02
2.763819095477387133e+00,2.303900904565688279e+02
2.788944723618090649e+00,2.267568260923921173e+02
2.814070351758794164e+00,2.231972884572436158e+02
2.839195979899497679e+00,2.197099814776125299e+02
2.864321608040201195e+00,2.162934394385293331e+02
2.889447236180904710e+00,2.129462263675259237e+02
2.914572864321608225e+00,2.096669354310962206e+02
2.939698492462311741e+00,2.064541883434045815e+02
2.964824120603015256e+00,2.033066347869919355e+02
2.989949748743718771e+00,2.002229518452374180e+02
3.000000000000000000e+00,1.990070712310840122e+02
3.015075376884422287e+00,1.972018434463368237e+02
3.040201005025125802e+00,1.942420398185635406e+02
3.065326633165829318e+00,1.913422969565835672e+02
3.090452261306532833e+00,1.885013960985999404e+02
3.115577889447236348e+00,1.857181432141075561e+02
3.140703517587939864e+00,1.829913685020419791e+02
3.165829145728643379e+00,1.803199258991121781e+02
3.190954773869346894e+00,1.777026925981100476e+02
3.216080402010050410e+00,1.751385685759947819e+02
3.241206030150753925e+00,1.726264761315531189e+02
3.266331658291457440e+00,1.701653594324416474e+02
3.291457286432160956e+00,1.677541840714202976e+02
3.316582914572864471e+00,1.653919366315914203e+02
3.341708542713567986e+00,1.630776242604602544e+02
3.366834170854271502e+00,1.608102742526396014e+02
3.391959798994975017e+00,1.585889336410210717e+02
3.417085427135678533e+00,1.564126687962438496e+02
3.442211055276382048e+00,1.542805650342897366e+02
3.467336683417085563e+00,1.521917262320417592e+02
3.492462311557789079e+00,1.501452744506435124e+02
3.517587939698492594e+00,1.481403495665016976e+02
3.542713567839196109e+00,1.461761089097760760e+02
3.567839195979899625e+00,1.442517269102053206e+02
3.592964824120603140e+00,1.423663947501199800e+02
3.618090452261306655e+00,1.405193200244964373e+02
3.643216080402010171e+00,1.387097264079091019e+02
3.668341708542713686e+00,1.369368533282408293e+02
3.693467336683417201e+00,1.351999556470145194e+02
3.718592964824120717e+00,1.334983033462114577e+02
3.743718592964824232e+00,1.318311812214447514e+02
3.768844221105527748e+00,1.301978885813589955e+02
3.793969849246231263e+00,1.285977389531296353e+02
3.819095477386934778e+00,1.270300597939386620e+02
3.844221105527638294e+00,1.254941922083046961e+02
3.869346733668341809e+00,1.239894906711492411e+02
3.894472361809045324e+00,1.225153227564827461e+02
3.919597989949748840e+00,1.210710688715957559e+02
3.944723618090452355e+00,1.196561219966442593e+02
3.969849246231155870e+00,1.182698874295191445e+02
3.994974874371859386e+00,1.169117825358930816e+02
4.020100502512563345e+00,1.155812365043392731e+02
4.045226130653266416e+00,1.142776901064194277e+02
4.070351758793970376e+00,1.130005954616399890e+02
4.095477386934673447e+00,1.117494158071782948e+02
4.120603015075377407e+00,1.105236252722806398e+02
4.145728643216080478e+00,1.093227086572395024e+02
4.170854271356784437e+00,1.081461612168545088e+02
4.195979899497487509e+00,1.069934884482884883e+02
4.221105527638191468e+00,1.058642058832276405e+02
4.246231155778894539e+00,1.047578388842598400e+02
4.271356783919598499e+00,1.036739224453841643e+02
4.296482412060301570e+00,1.026120009965693214e+02
4.321608040201005529e+00,1.015716282122771759e+02
4.346733668341708601e+00,1.005523668238725463e+02
4.371859296482412560e+00,9.955378843583878279e+01
4.396984924623115631e+00,9.857547334572356590e+01
4.422110552763819591e+00,9.761701036773769147e+01
4.447236180904522662e+00,9.667799665993385361e+01
4.472361809045226622e+00,9.575803755489206992e+01
4.497487437185929693e+00,9.485674639384122031e+01
4.522613065326633652e+00,9.397374436414604304e+01
4.547738693467336724e+00,9.310866034009248438e+01
4.572864321608040683e+00,9.226113072690338868e+01
4.597989949748743754e+00,9.143079930791981269e+01
4.623115577889447714e+00,9.061731709488302045e+01
4.648241206030150785e+00,8.982034218125477310e+01
4.673366834170854744e+00,8.903953959851403965e+01
4.698492462311557816e+00,8.827458117536986038e+01
4.723618090452261775e+00,8.752514539983069142e+01
4.748743718592964846e+00,8.679091728407320261e+01
4.773869346733668806e+00,8.607158823205274700e+01
4.798994974874371877e+00,8.536685590980056304e+01
4.824120603015075837e+00,8.467642411835267069e+01
4.849246231155778908e+00,8.400000266925766823e+01
4.874371859296482867e+00,8.333730726261032373e+01
4.899497487437185939e+00,8.268805936756054109e+01
4.924623115577889898e+00,8.205198610524665526e+01
4.949748743718592969e+00,8.142882013410464026e+01
4.974874371859296929e+00,8.081829953750430207e+01
5.000000000000000000e+00,8.022016771366590149e+01
5.979899497487437543e+00,6.432400172838127617e+01
6.959798994974874198e+00,5.717806124429819903e+01
7.939698492462311741e+00,5.396568503676935791e+01
8.919597989949748396e+00,5.252159787683809355e+01
9.899497487437185939e+00,5.187242493109443586e+01
1.000000000000000000e+01,5.183068540844010386e+01
1.087939698492462348e+01,5.158059662240317778e+01
1.185929648241205925e+01,5.144940852790234942e+01
1.283919597989949679e+01,5.139043441323904204e+01
1.381909547738693433e+01,5.136392327125199841e+01
